user_id,stage_order,stage
cfa7562d8642,0,Arrived
cfa7562d8642,1,Sent a message
cfa7562d8642,2,Sent 2 or more messages
cfa7562d8642,3,Sent 7 or more messages
0b98d3009cee,0,Arrived
0b98d3009cee,1,Sent a message
0b98d3009cee,2,Sent 2 or more messages
0b98d3009cee,3,Sent 7 or more messages
a4038b45998a,0,Arrived
a4038b45998a,1,Sent a message
a4038b45998a,2,Sent 2 or more messages
f19c866c9fd5,0,Arrived
f19c866c9fd5,1,Sent a message
f19c866c9fd5,2,Sent 2 or more messages
58003bf0152d,0,Arrived
58003bf0152d,1,Sent a message
58003bf0152d,2,Sent 2 or more messages
58003bf0152d,3,Sent 7 or more messages
5e65b3f3ebf6,0,Arrived
5e65b3f3ebf6,1,Sent a message
5e65b3f3ebf6,2,Sent 2 or more messages
5e65b3f3ebf6,3,Sent 7 or more messages
96cae25a3eb7,0,Arrived
96cae25a3eb7,1,Sent a message
96cae25a3eb7,2,Sent 2 or more messages
96cae25a3eb7,3,Sent 7 or more messages
0bc4e4d3140a,0,Arrived
178c78255064,0,Arrived
178c78255064,1,Sent a message
178c78255064,2,Sent 2 or more messages
178c78255064,3,Sent 7 or more messages
a5def76f53e2,0,Arrived
a5def76f53e2,1,Sent a message
a5def76f53e2,2,Sent 2 or more messages
64e5fa345723,0,Arrived
64e5fa345723,1,Sent a message
4f10e7ccb693,0,Arrived
4f10e7ccb693,1,Sent a message
e4bb3d69fa67,0,Arrived
e4bb3d69fa67,1,Sent a message
e4bb3d69fa67,2,Sent 2 or more messages
e4bb3d69fa67,3,Sent 7 or more messages
0d396bbbe637,0,Arrived
0d396bbbe637,1,Sent a message
0d396bbbe637,2,Sent 2 or more messages
6d3883ec2cac,0,Arrived
6d3883ec2cac,1,Sent a message
6d3883ec2cac,2,Sent 2 or more messages
425a85d298f2,0,Arrived
425a85d298f2,1,Sent a message
72fd8e1853ee,0,Arrived
72fd8e1853ee,1,Sent a message
72fd8e1853ee,2,Sent 2 or more messages
8d99fc65f5d8,0,Arrived
8d99fc65f5d8,1,Sent a message
d8453c52ba60,0,Arrived
f3141ba1bdbf,0,Arrived
f3141ba1bdbf,1,Sent a message
7dcca471d88b,0,Arrived
7dcca471d88b,1,Sent a message
7dcca471d88b,2,Sent 2 or more messages
7dcca471d88b,3,Sent 7 or more messages
2f1d63920637,0,Arrived
2f1d63920637,1,Sent a message
452c08220fe8,0,Arrived
452c08220fe8,1,Sent a message
452c08220fe8,2,Sent 2 or more messages
c6b6dd92e42a,0,Arrived
c6b6dd92e42a,1,Sent a message
c6b6dd92e42a,2,Sent 2 or more messages
c6b6dd92e42a,3,Sent 7 or more messages
0982baceacfa,0,Arrived
0982baceacfa,1,Sent a message
0982baceacfa,2,Sent 2 or more messages
0982baceacfa,3,Sent 7 or more messages
0bdeeab02ee1,0,Arrived
0bdeeab02ee1,1,Sent a message
0bdeeab02ee1,2,Sent 2 or more messages
0a225e949939,0,Arrived
0a225e949939,1,Sent a message
57564566869e,0,Arrived
92d93d16ccf9,0,Arrived
92d93d16ccf9,1,Sent a message
5616952a922d,0,Arrived
5616952a922d,1,Sent a message
f182c9674a6f,0,Arrived
8d35e97c8a4a,0,Arrived
221fa9dcfc72,0,Arrived
221fa9dcfc72,1,Sent a message
221fa9dcfc72,2,Sent 2 or more messages
221fa9dcfc72,3,Sent 7 or more messages
4d1e482c7da6,0,Arrived
e321fc2db3fa,0,Arrived
e321fc2db3fa,1,Sent a message
e321fc2db3fa,2,Sent 2 or more messages
025cac964aaa,0,Arrived
025cac964aaa,1,Sent a message
258089dc336d,0,Arrived
258089dc336d,1,Sent a message
258089dc336d,2,Sent 2 or more messages
13c2983256df,0,Arrived
13c2983256df,1,Sent a message
b259227734f4,0,Arrived
b259227734f4,1,Sent a message
b259227734f4,2,Sent 2 or more messages
6ae6862863cc,0,Arrived
6ae6862863cc,1,Sent a message
6ae6862863cc,2,Sent 2 or more messages
288002336e77,0,Arrived
288002336e77,1,Sent a message
288002336e77,2,Sent 2 or more messages
48b29e9b74b3,0,Arrived
48b29e9b74b3,1,Sent a message
74a39c4f60d3,0,Arrived
a5b8a3cf6303,0,Arrived
a5b8a3cf6303,1,Sent a message
e86e2bb226cd,0,Arrived
c44634a0d0af,0,Arrived
c44634a0d0af,1,Sent a message
c44634a0d0af,2,Sent 2 or more messages
702f81b87973,0,Arrived
702f81b87973,1,Sent a message
702f81b87973,2,Sent 2 or more messages
8c76ab127eda,0,Arrived
28cfc1df937a,0,Arrived
28cfc1df937a,1,Sent a message
28cfc1df937a,2,Sent 2 or more messages
54987b876f2a,0,Arrived
54987b876f2a,1,Sent a message
54987b876f2a,2,Sent 2 or more messages
58bd15dd3b17,0,Arrived
1c5abb23d689,0,Arrived
1c5abb23d689,1,Sent a message
1c5abb23d689,2,Sent 2 or more messages
953e3cf164e2,0,Arrived
92c906ae713f,0,Arrived
92c906ae713f,1,Sent a message
92c906ae713f,2,Sent 2 or more messages
46f5acd38250,0,Arrived
46f5acd38250,1,Sent a message
46f5acd38250,2,Sent 2 or more messages
46f5acd38250,3,Sent 7 or more messages
2b5a6c0d5350,0,Arrived
ed77d995c4dd,0,Arrived
406a00fa0c7d,0,Arrived
111ad7eb4be6,0,Arrived
111ad7eb4be6,1,Sent a message
111ad7eb4be6,2,Sent 2 or more messages
342348fe0966,0,Arrived
e0698cb52450,0,Arrived
e0698cb52450,1,Sent a message
a5dadd4e8d83,0,Arrived
a5dadd4e8d83,1,Sent a message
a5dadd4e8d83,2,Sent 2 or more messages
a5dadd4e8d83,3,Sent 7 or more messages
8bf06bcd9b8d,0,Arrived
e61e18e8a539,0,Arrived
fdecf58bbd1b,0,Arrived
e9007fba3801,0,Arrived
e9007fba3801,1,Sent a message
5342526ca7e7,0,Arrived
5342526ca7e7,1,Sent a message
5342526ca7e7,2,Sent 2 or more messages
5342526ca7e7,3,Sent 7 or more messages
e51aa2d7b4dc,0,Arrived
e51aa2d7b4dc,1,Sent a message
e51aa2d7b4dc,2,Sent 2 or more messages
4fd0ea8a5508,0,Arrived
4fd0ea8a5508,1,Sent a message
3fb5c8b2ceba,0,Arrived
b05d491de4b3,0,Arrived
b05d491de4b3,1,Sent a message
a21a9f65fe4f,0,Arrived
a21a9f65fe4f,1,Sent a message
64ad655a920c,0,Arrived
64ad655a920c,1,Sent a message
8c0dd341c5ed,0,Arrived
91ff28da6cfe,0,Arrived
91ff28da6cfe,1,Sent a message
d26cb0cae7f8,0,Arrived
c360da905665,0,Arrived
3599f0b9b4e9,0,Arrived
3599f0b9b4e9,1,Sent a message
3599f0b9b4e9,2,Sent 2 or more messages
adc62f73647f,0,Arrived
adc62f73647f,1,Sent a message
adc62f73647f,2,Sent 2 or more messages
5f86a3974516,0,Arrived
5f86a3974516,1,Sent a message
5f86a3974516,2,Sent 2 or more messages
3a57ba4e56f1,0,Arrived
3a57ba4e56f1,1,Sent a message
3a57ba4e56f1,2,Sent 2 or more messages
b97b1f3ab1ee,0,Arrived
b97b1f3ab1ee,1,Sent a message
b97b1f3ab1ee,2,Sent 2 or more messages
b5eb6b5a548a,0,Arrived
b5eb6b5a548a,1,Sent a message
b5eb6b5a548a,2,Sent 2 or more messages
ec87239959ff,0,Arrived
ec87239959ff,1,Sent a message
ec87239959ff,2,Sent 2 or more messages
e846935965c0,0,Arrived
e846935965c0,1,Sent a message
e846935965c0,2,Sent 2 or more messages
e846935965c0,3,Sent 7 or more messages
1195052a2705,0,Arrived
1195052a2705,1,Sent a message
1195052a2705,2,Sent 2 or more messages
1195052a2705,3,Sent 7 or more messages
a37a284274ee,0,Arrived
a37a284274ee,1,Sent a message
a37a284274ee,2,Sent 2 or more messages
f11283a6845d,0,Arrived
f11283a6845d,1,Sent a message
f11283a6845d,2,Sent 2 or more messages
f11283a6845d,3,Sent 7 or more messages
d290da81e8e7,0,Arrived
0de98070fca2,0,Arrived
0de98070fca2,1,Sent a message
0de98070fca2,2,Sent 2 or more messages
2624c4c019ec,0,Arrived
8f22a38fba39,0,Arrived
8f22a38fba39,1,Sent a message
8515b9337673,0,Arrived
8515b9337673,1,Sent a message
8515b9337673,2,Sent 2 or more messages
6650942ea6ea,0,Arrived
6650942ea6ea,1,Sent a message
6650942ea6ea,2,Sent 2 or more messages
8c55a7380118,0,Arrived
8c55a7380118,1,Sent a message
8c55a7380118,2,Sent 2 or more messages
8c55a7380118,3,Sent 7 or more messages
8f8014dd3ca2,0,Arrived
8f8014dd3ca2,1,Sent a message
8f8014dd3ca2,2,Sent 2 or more messages
782bc1dc9626,0,Arrived
782bc1dc9626,1,Sent a message
782bc1dc9626,2,Sent 2 or more messages
d198e5adc768,0,Arrived
d198e5adc768,1,Sent a message
c17649e72675,0,Arrived
c4d5bca077ba,0,Arrived
a6642232899b,0,Arrived
a6642232899b,1,Sent a message
a6642232899b,2,Sent 2 or more messages
46030f16eeeb,0,Arrived
46030f16eeeb,1,Sent a message
46030f16eeeb,2,Sent 2 or more messages
02764a615e66,0,Arrived
02764a615e66,1,Sent a message
851cf3b82b01,0,Arrived
851cf3b82b01,1,Sent a message
851cf3b82b01,2,Sent 2 or more messages
2b0c382722d0,0,Arrived
2b0c382722d0,1,Sent a message
2b0c382722d0,2,Sent 2 or more messages
4a9224ec0d8e,0,Arrived
4a9224ec0d8e,1,Sent a message
4a9224ec0d8e,2,Sent 2 or more messages
4a9224ec0d8e,3,Sent 7 or more messages
1c4cccd51f1e,0,Arrived
1c4cccd51f1e,1,Sent a message
25f72e684000,0,Arrived
25f72e684000,1,Sent a message
6863d38c2d07,0,Arrived
6863d38c2d07,1,Sent a message
6863d38c2d07,2,Sent 2 or more messages
e80a36af12e5,0,Arrived
e80a36af12e5,1,Sent a message
e80a36af12e5,2,Sent 2 or more messages
bcb32a25466f,0,Arrived
bcb32a25466f,1,Sent a message
573843e5bd1e,0,Arrived
573843e5bd1e,1,Sent a message
573843e5bd1e,2,Sent 2 or more messages
a26eecc89b56,0,Arrived
a26eecc89b56,1,Sent a message
a26eecc89b56,2,Sent 2 or more messages
a26eecc89b56,3,Sent 7 or more messages
4c27be02ace9,0,Arrived
4c27be02ace9,1,Sent a message
4c27be02ace9,2,Sent 2 or more messages
a5a1de8d5d8f,0,Arrived
a5a1de8d5d8f,1,Sent a message
a5a1de8d5d8f,2,Sent 2 or more messages
a5a1de8d5d8f,3,Sent 7 or more messages
9c79fc78d797,0,Arrived
9c79fc78d797,1,Sent a message
9c79fc78d797,2,Sent 2 or more messages
bc23c504be66,0,Arrived
bc23c504be66,1,Sent a message
40cbebbd504b,0,Arrived
40cbebbd504b,1,Sent a message
40cbebbd504b,2,Sent 2 or more messages
0fb335dc5958,0,Arrived
0fb335dc5958,1,Sent a message
0fb335dc5958,2,Sent 2 or more messages
5804605991cf,0,Arrived
5804605991cf,1,Sent a message
5804605991cf,2,Sent 2 or more messages
8e5b3257d1da,0,Arrived
8e5b3257d1da,1,Sent a message
8e5b3257d1da,2,Sent 2 or more messages
8e5b3257d1da,3,Sent 7 or more messages
ebf63a1e9924,0,Arrived
ebf63a1e9924,1,Sent a message
ebf63a1e9924,2,Sent 2 or more messages
67137155144d,0,Arrived
67137155144d,1,Sent a message
67137155144d,2,Sent 2 or more messages
67137155144d,3,Sent 7 or more messages
d34943bfdf8b,0,Arrived
d34943bfdf8b,1,Sent a message
d34943bfdf8b,2,Sent 2 or more messages
f90a785a914c,0,Arrived
f90a785a914c,1,Sent a message
df79cf3d1d84,0,Arrived
df79cf3d1d84,1,Sent a message
cf1e2d9e5c95,0,Arrived
cf1e2d9e5c95,1,Sent a message
cf1e2d9e5c95,2,Sent 2 or more messages
cf1e2d9e5c95,3,Sent 7 or more messages
2be96f37218b,0,Arrived
2be96f37218b,1,Sent a message
7205b06dde9e,0,Arrived
7205b06dde9e,1,Sent a message
5cd4dbfb17c4,0,Arrived
691fe5ddb951,0,Arrived
691fe5ddb951,1,Sent a message
d3ddd0715e63,0,Arrived
923ea915bfb1,0,Arrived
90f9b9d9f534,0,Arrived
f35294957acf,0,Arrived
6491eceed718,0,Arrived
e53901a426b6,0,Arrived
b742052b3783,0,Arrived
b742052b3783,1,Sent a message
b742052b3783,2,Sent 2 or more messages
acf5c6560459,0,Arrived
acf5c6560459,1,Sent a message
4b8af1d9e6e6,0,Arrived
4b8af1d9e6e6,1,Sent a message
4b8af1d9e6e6,2,Sent 2 or more messages
4dbeb691b609,0,Arrived
4dbeb691b609,1,Sent a message
4dbeb691b609,2,Sent 2 or more messages
0556605b2d5c,0,Arrived
0556605b2d5c,1,Sent a message
0556605b2d5c,2,Sent 2 or more messages
0556605b2d5c,3,Sent 7 or more messages
970c5e6500df,0,Arrived
970c5e6500df,1,Sent a message
970c5e6500df,2,Sent 2 or more messages
456b1a830844,0,Arrived
456b1a830844,1,Sent a message
456b1a830844,2,Sent 2 or more messages
c30ddc5d3f63,0,Arrived
c30ddc5d3f63,1,Sent a message
c30ddc5d3f63,2,Sent 2 or more messages
41662a74fa3e,0,Arrived
41662a74fa3e,1,Sent a message
41662a74fa3e,2,Sent 2 or more messages
41662a74fa3e,3,Sent 7 or more messages
aa5cfb011785,0,Arrived
aa5cfb011785,1,Sent a message
aa5cfb011785,2,Sent 2 or more messages
07fdee5981cb,0,Arrived
07fdee5981cb,1,Sent a message
07fdee5981cb,2,Sent 2 or more messages
618f68ebe821,0,Arrived
baeaf1552f27,0,Arrived
ae3786c10d54,0,Arrived
ae3786c10d54,1,Sent a message
ae3786c10d54,2,Sent 2 or more messages
f2d9ee2f480b,0,Arrived
f2d9ee2f480b,1,Sent a message
f2d9ee2f480b,2,Sent 2 or more messages
719105037cd3,0,Arrived
719105037cd3,1,Sent a message
719105037cd3,2,Sent 2 or more messages
