user_id,instrument_version,stage_order,stage
2624c4c019ec,v1,0,registration started
2624c4c019ec,v1,1,registration completed
8f22a38fba39,v1,0,registration started
8f22a38fba39,v1,1,registration completed
8515b9337673,v1,0,registration started
8515b9337673,v1,1,registration completed
6650942ea6ea,v1,0,registration started
6650942ea6ea,v1,1,registration completed
8c55a7380118,v1,0,registration started
8c55a7380118,v1,1,registration completed
8f8014dd3ca2,v1,0,registration started
8f8014dd3ca2,v1,1,registration completed
782bc1dc9626,v1,0,registration started
782bc1dc9626,v1,1,registration completed
d198e5adc768,v1,0,registration started
d198e5adc768,v1,1,registration completed
c17649e72675,v1,0,registration started
c17649e72675,v1,1,registration completed
c4d5bca077ba,v1,0,registration started
c4d5bca077ba,v1,1,registration completed
a6642232899b,v1,0,registration started
a6642232899b,v1,1,registration completed
46030f16eeeb,v1,0,registration started
46030f16eeeb,v1,1,registration completed
02764a615e66,v1,0,registration started
02764a615e66,v1,1,registration completed
851cf3b82b01,v1,0,registration started
851cf3b82b01,v1,1,registration completed
2b0c382722d0,v1,0,registration started
2b0c382722d0,v1,1,registration completed
4a9224ec0d8e,v1,0,registration started
4a9224ec0d8e,v1,1,registration completed
1c4cccd51f1e,v1,0,registration started
1c4cccd51f1e,v1,1,registration completed
25f72e684000,v1,0,registration started
25f72e684000,v1,1,registration completed
6863d38c2d07,v1,0,registration started
6863d38c2d07,v1,1,registration completed
e80a36af12e5,v1,0,registration started
e80a36af12e5,v1,1,registration completed
bcb32a25466f,v1,0,registration started
bcb32a25466f,v1,1,registration completed
573843e5bd1e,v1,0,registration started
573843e5bd1e,v1,1,registration completed
a26eecc89b56,v1,0,registration started
a26eecc89b56,v1,1,registration completed
4c27be02ace9,v1,0,registration started
4c27be02ace9,v1,1,registration completed
a5a1de8d5d8f,v1,0,registration started
a5a1de8d5d8f,v1,1,registration completed
9c79fc78d797,v1,0,registration started
9c79fc78d797,v1,1,registration completed
bc23c504be66,v1,0,registration started
bc23c504be66,v1,1,registration completed
40cbebbd504b,v1,0,registration started
40cbebbd504b,v1,1,registration completed
0fb335dc5958,v1,0,registration started
0fb335dc5958,v1,1,registration completed
5804605991cf,v1,0,registration started
5804605991cf,v1,1,registration completed
8e5b3257d1da,v1,0,registration started
8e5b3257d1da,v1,1,registration completed
ebf63a1e9924,v1,0,registration started
ebf63a1e9924,v1,1,registration completed
67137155144d,v1,0,registration started
67137155144d,v1,1,registration completed
d34943bfdf8b,v1,0,registration started
d34943bfdf8b,v1,1,registration completed
f90a785a914c,v1,0,registration started
f90a785a914c,v1,1,registration completed
df79cf3d1d84,v1,0,registration started
df79cf3d1d84,v1,1,registration completed
cf1e2d9e5c95,v1,0,registration started
cf1e2d9e5c95,v1,1,registration completed
2be96f37218b,v1,0,registration started
2be96f37218b,v1,1,registration completed
7205b06dde9e,v1,0,registration started
7205b06dde9e,v1,1,registration completed
5cd4dbfb17c4,v1,0,registration started
5cd4dbfb17c4,v1,1,registration completed
691fe5ddb951,v1,0,registration started
691fe5ddb951,v1,1,registration completed
d3ddd0715e63,v1,0,registration started
d3ddd0715e63,v1,1,registration completed
923ea915bfb1,v1,0,registration started
923ea915bfb1,v1,1,registration completed
90f9b9d9f534,v1,0,registration started
90f9b9d9f534,v1,1,registration completed
f35294957acf,v1,0,registration started
f35294957acf,v1,1,registration completed
6491eceed718,v1,0,registration started
6491eceed718,v1,1,registration completed
e53901a426b6,v1,0,registration started
e53901a426b6,v1,1,registration completed
b742052b3783,v1,0,registration started
b742052b3783,v1,1,registration completed
acf5c6560459,v1,0,registration started
acf5c6560459,v1,1,registration completed
4b8af1d9e6e6,v1,0,registration started
4b8af1d9e6e6,v1,1,registration completed
4dbeb691b609,v1,0,registration started
4dbeb691b609,v1,1,registration completed
58bd15dd3b17,v1,0,registration started
58bd15dd3b17,v1,1,registration completed
0556605b2d5c,v1,0,registration started
0556605b2d5c,v1,1,registration completed
970c5e6500df,v1,0,registration started
970c5e6500df,v1,1,registration completed
456b1a830844,v1,0,registration started
456b1a830844,v1,1,registration completed
c30ddc5d3f63,v1,0,registration started
c30ddc5d3f63,v1,1,registration completed
41662a74fa3e,v1,0,registration started
41662a74fa3e,v1,1,registration completed
aa5cfb011785,v1,0,registration started
aa5cfb011785,v1,1,registration completed
07fdee5981cb,v1,0,registration started
07fdee5981cb,v1,1,registration completed
618f68ebe821,v1,0,registration started
618f68ebe821,v1,1,registration completed
baeaf1552f27,v1,0,registration started
baeaf1552f27,v1,1,registration completed
ae3786c10d54,v1,0,registration started
ae3786c10d54,v1,1,registration completed
f2d9ee2f480b,v1,0,registration started
f2d9ee2f480b,v1,1,registration completed
719105037cd3,v1,0,registration started
719105037cd3,v1,1,registration completed
205f6c912237,v1,0,registration started
205f6c912237,v1,1,registration completed
50fdccfb1891,v1,0,registration started
50fdccfb1891,v1,1,registration completed
33d504e8d4d9,v1,0,registration started
33d504e8d4d9,v1,1,registration completed
a2e7a4a72fef,v1,0,registration started
a2e7a4a72fef,v1,1,registration completed
cc350246cf6e,v1,0,registration started
cc350246cf6e,v1,1,registration completed
41662a74fa3e,v1,0,registration started
41662a74fa3e,v1,1,registration completed
0556605b2d5c,v1,0,registration started
0556605b2d5c,v1,1,registration completed
32fdecd17449,v1,0,registration started
32fdecd17449,v1,1,registration completed
591ef6450265,v1,0,registration started
591ef6450265,v1,1,registration completed
c0ebc8b6e977,v1,0,registration started
c0ebc8b6e977,v1,1,registration completed
11e3b5c0ff75,v1,0,registration started
11e3b5c0ff75,v1,1,registration completed
4462fcbb3406,v1,0,registration started
4462fcbb3406,v1,1,registration completed
f8df33a0bed7,v1,0,registration started
f8df33a0bed7,v1,1,registration completed
ad0d0436a635,v1,0,registration started
ad0d0436a635,v1,1,registration completed
9ec54a2a09b9,v1,0,registration started
9ec54a2a09b9,v1,1,registration completed
a741d3529eec,v1,0,registration started
a741d3529eec,v1,1,registration completed
b4ee5ceb484c,v1,0,registration started
b4ee5ceb484c,v1,1,registration completed
f551cd0b668e,v1,0,registration started
f551cd0b668e,v1,1,registration completed
d1ca95b614c6,v1,0,registration started
d1ca95b614c6,v1,1,registration completed
50609b181614,v1,0,registration started
50609b181614,v1,1,registration completed
c70fc546cae1,v1,0,registration started
c70fc546cae1,v1,1,registration completed
26c37c7c3dcf,v1,0,registration started
26c37c7c3dcf,v1,1,registration completed
e1e54a1ff1f5,v1,0,registration started
e1e54a1ff1f5,v1,1,registration completed
bd72935f5518,v1,0,registration started
bd72935f5518,v1,1,registration completed
24e2b3678d0d,v1,0,registration started
24e2b3678d0d,v1,1,registration completed
7f5783a9735d,v1,0,registration started
7f5783a9735d,v1,1,registration completed
21d253a16688,v1,0,registration started
21d253a16688,v1,1,registration completed
6695107cea34,v1,0,registration started
6695107cea34,v1,1,registration completed
f9c69cf01445,v1,0,registration started
f9c69cf01445,v1,1,registration completed
4c5d5996085f,v1,0,registration started
4c5d5996085f,v1,1,registration completed
def3e194afc8,v1,0,registration started
def3e194afc8,v1,1,registration completed
0a2869cfe664,v1,0,registration started
0a2869cfe664,v1,1,registration completed
9fc2d4ba36e4,v1,0,registration started
9fc2d4ba36e4,v1,1,registration completed
f4b1d91c8719,v1,0,registration started
f4b1d91c8719,v1,1,registration completed
4dc5923f9d21,v1,0,registration started
4dc5923f9d21,v1,1,registration completed
b71b48b68419,v1,0,registration started
b71b48b68419,v1,1,registration completed
046a939f1579,v1,0,registration started
046a939f1579,v1,1,registration completed
16dd8b39b4ea,v1,0,registration started
16dd8b39b4ea,v1,1,registration completed
d3b7d49f9133,v1,0,registration started
d3b7d49f9133,v1,1,registration completed
43f2bfa84b23,v1,0,registration started
43f2bfa84b23,v1,1,registration completed
9495fff13123,v1,0,registration started
9495fff13123,v1,1,registration completed
1209a0c44415,v1,0,registration started
1209a0c44415,v1,1,registration completed
6a69fced0269,v1,0,registration started
6a69fced0269,v1,1,registration completed
e9900c755cc8,v1,0,registration started
e9900c755cc8,v1,1,registration completed
1e01c7d59f5c,v1,0,registration started
1e01c7d59f5c,v1,1,registration completed
771f85a17fcb,v1,0,registration started
771f85a17fcb,v1,1,registration completed
e719d43df055,v1,0,registration started
e719d43df055,v1,1,registration completed
730e17119e5d,v1,0,registration started
730e17119e5d,v1,1,registration completed
204861de9f07,v1,0,registration started
204861de9f07,v1,1,registration completed
24e2b3678d0d,v1,0,registration started
24e2b3678d0d,v1,1,registration completed
932b8454df7d,v1,0,registration started
932b8454df7d,v1,1,registration completed
e6f409ef9b75,v1,0,registration started
e6f409ef9b75,v1,1,registration completed
3405af2b0ae0,v1,0,registration started
3405af2b0ae0,v1,1,registration completed
c779e342fd14,v1,0,registration started
c779e342fd14,v1,1,registration completed
2d0025fbee46,v1,0,registration started
2d0025fbee46,v1,1,registration completed
406b3e9a1228,v1,0,registration started
406b3e9a1228,v1,1,registration completed
8a74e17e6243,v1,0,registration started
8a74e17e6243,v1,1,registration completed
e5edc9cb3a93,v1,0,registration started
e5edc9cb3a93,v1,1,registration completed
bc1dee482f04,v1,0,registration started
bc1dee482f04,v1,1,registration completed
ec1a34a77cca,v1,0,registration started
ec1a34a77cca,v1,1,registration completed
a5b1e565a5b6,v1,0,registration started
a5b1e565a5b6,v1,1,registration completed
f8df33a0bed7,v1,0,registration started
f8df33a0bed7,v1,1,registration completed
5cb012353434,v1,0,registration started
5cb012353434,v1,1,registration completed
0809661b0bc4,v1,0,registration started
0809661b0bc4,v1,1,registration completed
cf027211d091,v1,0,registration started
cf027211d091,v1,1,registration completed
d7dd07913041,v1,0,registration started
d7dd07913041,v1,1,registration completed
88d62e8e059f,v1,0,registration started
88d62e8e059f,v1,1,registration completed
77aaa1392818,v1,0,registration started
77aaa1392818,v1,1,registration completed
057777824af7,v1,0,registration started
057777824af7,v1,1,registration completed
0a19abe64c8f,v1,0,registration started
0a19abe64c8f,v1,1,registration completed
685101263c25,v1,0,registration started
685101263c25,v1,1,registration completed
ae274c7b9001,v1,0,registration started
ae274c7b9001,v1,1,registration completed
72481892be9f,v1,0,registration started
72481892be9f,v1,1,registration completed
4d0d805f41f7,v1,0,registration started
4d0d805f41f7,v1,1,registration completed
ec0808a120ca,v1,0,registration started
ec0808a120ca,v1,1,registration completed
1848f211e243,v1,0,registration started
1848f211e243,v1,1,registration completed
b411ca13f4a1,v1,0,registration started
b411ca13f4a1,v1,1,registration completed
11d359d29a07,v1,0,registration started
11d359d29a07,v1,1,registration completed
5858420214d9,v1,0,registration started
5858420214d9,v1,1,registration completed
6b65c7c3b3ef,v1,0,registration started
6b65c7c3b3ef,v1,1,registration completed
ab8260e04552,v1,0,registration started
ab8260e04552,v1,1,registration completed
ebd77a80a358,v1,0,registration started
ebd77a80a358,v1,1,registration completed
7ff12400b9f6,v1,0,registration started
7ff12400b9f6,v1,1,registration completed
fd66527a6032,v1,0,registration started
fd66527a6032,v1,1,registration completed
c07a41679f4b,v1,0,registration started
c07a41679f4b,v1,1,registration completed
106f48ba07b7,v1,0,registration started
106f48ba07b7,v1,1,registration completed
32be206e53e4,v1,0,registration started
32be206e53e4,v1,1,registration completed
40909d385fd7,v1,0,registration started
40909d385fd7,v1,1,registration completed
cafa8a84785e,v1,0,registration started
cafa8a84785e,v1,1,registration completed
7db0f19f99c4,v1,0,registration started
7db0f19f99c4,v1,1,registration completed
f61075c58c43,v1,0,registration started
f61075c58c43,v1,1,registration completed
9d13da642c1d,v1,0,registration started
9d13da642c1d,v1,1,registration completed
a3ac0cb9e730,v1,0,registration started
a3ac0cb9e730,v1,1,registration completed
e7a36fffd249,v1,0,registration started
e7a36fffd249,v1,1,registration completed
0af1b20e629c,v1,0,registration started
0af1b20e629c,v1,1,registration completed
