week,category,n
2026-03-23,legal_documentation,71
2026-04-06,legal_documentation,24
2026-04-13,legal_documentation,45
2026-04-20,legal_documentation,49
2026-04-27,legal_documentation,61
2026-05-04,legal_documentation,228
2026-05-11,legal_documentation,171
2026-05-18,legal_documentation,50
2026-05-25,legal_documentation,329
2026-06-01,legal_documentation,116
2026-06-08,legal_documentation,141
2026-06-15,legal_documentation,70
2026-06-22,legal_documentation,161
2026-06-29,legal_documentation,57
2026-07-06,legal_documentation,277
2026-07-13,legal_documentation,306
2026-07-20,legal_documentation,14
2026-07-27,legal_documentation,0
2026-03-23,humanitarian_assistance,20
2026-04-06,humanitarian_assistance,47
2026-04-13,humanitarian_assistance,23
2026-04-20,humanitarian_assistance,61
2026-04-27,humanitarian_assistance,42
2026-05-04,humanitarian_assistance,77
2026-05-11,humanitarian_assistance,79
2026-05-18,humanitarian_assistance,52
2026-05-25,humanitarian_assistance,83
2026-06-01,humanitarian_assistance,39
2026-06-08,humanitarian_assistance,70
2026-06-15,humanitarian_assistance,23
2026-06-22,humanitarian_assistance,46
2026-06-29,humanitarian_assistance,31
2026-07-06,humanitarian_assistance,60
2026-07-13,humanitarian_assistance,91
2026-07-20,humanitarian_assistance,4
2026-07-27,humanitarian_assistance,0
2026-03-23,unclassified,22
2026-04-06,unclassified,6
2026-04-13,unclassified,0
2026-04-20,unclassified,0
2026-04-27,unclassified,0
2026-05-04,unclassified,0
2026-05-11,unclassified,0
2026-05-18,unclassified,0
2026-05-25,unclassified,0
2026-06-01,unclassified,0
2026-06-08,unclassified,0
2026-06-15,unclassified,0
2026-06-22,unclassified,0
2026-06-29,unclassified,0
2026-07-06,unclassified,23
2026-07-13,unclassified,125
2026-07-20,unclassified,348
2026-07-27,unclassified,161
2026-03-23,employment,13
2026-04-06,employment,6
2026-04-13,employment,10
2026-04-20,employment,13
2026-04-27,employment,4
2026-05-04,employment,21
2026-05-11,employment,57
2026-05-18,employment,5
2026-05-25,employment,49
2026-06-01,employment,22
2026-06-08,employment,57
2026-06-15,employment,22
2026-06-22,employment,34
2026-06-29,employment,3
2026-07-06,employment,42
2026-07-13,employment,41
2026-07-20,employment,1
2026-07-27,employment,0
2026-03-23,Other,21
2026-04-06,Other,3
2026-04-13,Other,6
2026-04-20,Other,17
2026-04-27,Other,16
2026-05-04,Other,63
2026-05-11,Other,45
2026-05-18,Other,11
2026-05-25,Other,94
2026-06-01,Other,52
2026-06-08,Other,56
2026-06-15,Other,25
2026-06-22,Other,18
2026-06-29,Other,30
2026-07-06,Other,48
2026-07-13,Other,49
2026-07-20,Other,6
2026-07-27,Other,0
