user_id,instrument_version,gender_clean,age_num,age_flag,city_canon,department,nationality_canon,away_duration_canon,away_duration_order,city_duration_canon,city_duration_order,n_questions,minors,destination_country,language,registration_status,attempts,is_returning,safety_alert,escalation_status,age_range,age_range_order,session_minutes,n_msgs_user,has_text,first_seen,registered_at,is_repeat_asker,intends_to_stay,cluster_id,subcluster_id,subcluster_name
0014ad7a21e3,v1,Woman,29.0,ok,Other,,Venezuela,3–12 months,2.0,1+ year,4.0,0.0,Yes,Argentina,Spanish,Completed,,,,,25-34,2,,5,True,2026-05-05 16:35:43.059,2026-05-05 16:35:43.059,False,False,1,10,Biometrics and minors' documents
001ea31cd267,v1,Woman,45.0,ok,Medellín,Antioquia,Venezuela,1–3 months,1.0,1–3 months,1.0,0.0,No,Colombia,Spanish,Completed,,,,,45-54,4,,3,True,2026-07-09 18:13:07.151,2026-07-09 18:13:07.151,False,True,5,50,Services and integration
006dab9688be,v1,Man,17.0,unreliable_sub18,Medellín,Antioquia,Venezuela,3–12 months,2.0,1+ year,4.0,2.0,No,Colombia,Spanish,Completed,,,,,0-17,0,,2,True,2026-05-28 21:54:09.493,2026-05-28 21:54:09.493,False,True,1,10,Biometrics and minors' documents
00a16c4cc1a9,v1,Woman,19.0,ok,Santa Marta,Magdalena,Venezuela,3–12 months,2.0,4–6 months,2.0,1.0,No,Colombia,Spanish,Completed,,,,,18-24,1,,1,True,2026-07-11 22:40:57.399,2026-07-11 22:40:57.399,False,True,1,11,Brigades and paperwork steps
00b7b18ae81a,v1,Woman,33.0,ok,Other,,Venezuela,5+ years,4.0,1+ year,4.0,1.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,1,True,2026-06-22 17:23:05.496,2026-06-22 17:23:05.496,False,True,3,30,Visas and travel abroad
00e2a21037ac,v1,Woman,34.0,ok,Santa Marta,Magdalena,Venezuela,1–5 years,3.0,7–12 months,3.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,1,True,2026-06-12 18:42:50.828,2026-06-12 18:42:50.828,False,True,0,0,Starting a business
00e5e5188fa3,v1,Woman,31.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,4.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,6,True,2026-05-28 21:26:45.293,2026-05-28 21:26:45.293,True,True,2,20,Family nationality options
012862ab9070,v1,Woman,39.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,0,False,,2026-05-29 02:39:49.872,False,True,-1,-10,No conversation text
01a55f6e2bfc,v1,Woman,22.0,ok,Other,,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,18-24,1,,1,True,2026-05-05 23:22:05.432,2026-05-05 23:22:05.432,False,True,4,41,Food and shelter from organisations
01b6e41756d9,v1,Woman,36.0,ok,Barranquilla,Atlántico,Venezuela,5+ years,4.0,1+ year,4.0,3.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,6,True,2026-06-13 13:31:24.392,2026-06-13 13:31:24.392,False,True,1,10,Biometrics and minors' documents
01c9824c67eb,v1,Woman,40.0,ok,Barranquilla,Atlántico,Venezuela,1–5 years,3.0,4–6 months,2.0,1.0,No,Colombia,Spanish,Completed,,,,,35-44,3,,1,True,2026-06-13 20:08:41.432,2026-06-13 20:08:41.432,False,True,4,41,Food and shelter from organisations
01e874a94ef6,v1,Woman,32.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,3.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,4,True,2026-05-12 23:28:05.394,2026-05-12 23:28:05.394,False,True,4,41,Food and shelter from organisations
01f1990699e4,v1,Woman,26.0,ok,Cúcuta,Norte de Santander,Venezuela,1–5 years,3.0,1+ year,4.0,,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,2,True,2026-07-16 02:34:44.793,2026-07-16 02:34:44.793,False,True,2,21,Regularising status abroad
