user_id,ts,usefulness_rating,rating_num,would_recommend,recommendation_text,discovery_channel,no_usefulness_reason,reason_is_valid
6491eceed718,2026-03-26 00:47:35.583,Very useful,5,Yes,,Referral from an NGO,Excelente,False
25f72e684000,2026-03-26 10:12:14.030,Not useful,1,Prefer not to say,,Other,"Ayuda, no se cómo activar mi línea nueva Tigo y mi internet",True
90f9b9d9f534,2026-03-27 03:36:50.975,Moderately useful,3,Prefer not to say,,Referral from an NGO,No,True
f35294957acf,2026-03-27 11:47:53.350,Not useful,1,Prefer not to say,,Other,No recibí información,True
ebf63a1e9924,2026-03-27 14:01:17.826,Useful,4,Yes,,Referral from an NGO,Todo bien gracias 😌🫂,False
41662a74fa3e,2026-04-13 23:01:36.202,Not useful,1,Prefer not to say,,Referral from another migrant,Ayudas en Bucaramanga,True
0556605b2d5c,2026-04-14 12:54:34.983,Moderately useful,3,Yes,,Poster at a service point,Me necesito hablo con persona ! Esto es urgencia !!!!,True
21d253a16688,2026-04-19 19:49:21.138,Very useful,5,Yes,,Referral from an NGO,Será que hay un punto de atención para los migrante vía cali,False
719105037cd3,2026-04-21 22:15:36.610,Very useful,5,Yes,,Other,No,False
24e2b3678d0d,2026-04-22 01:21:25.169,Not useful,1,Yes,,Social media,Que respondan todas las dudas,True
0a2869cfe664,2026-04-22 20:45:36.902,Moderately useful,3,Prefer not to say,,Poster at a service point,Actualizar la dirección de Migración Colombia en Cúcuta,True
cf027211d091,2026-04-28 12:09:23.344,Very useful,5,Yes,,Referral from another migrant,Q dan informaciónes buenas,False
ec0808a120ca,2026-04-28 13:00:00.148,Moderately useful,3,Yes,,Referral from an NGO,No,True
72481892be9f,2026-04-29 13:29:29.029,Useful,4,Yes,,Referral from an NGO,No,False
c5850b168b1b,2026-05-04 19:20:28.976,Slightly useful,2,Prefer not to say,,Poster at a service point,Llegue al punto a la una de la tarde y estaba cerrado el punto de atencion en la terminal del norte. Favor no cerrar los puntos,True
c70fc546cae1,2026-05-05 16:58:03.247,Useful,4,Prefer not to say,,Referral from an NGO,Poder responder a la pregunta hecha cuando cambia el tema,False
43f2bfa84b23,2026-05-05 21:42:56.569,Very useful,5,Yes,,Referral from another migrant,No,False
d881a73f0891,2026-05-06 13:59:49.873,Not useful,1,Yes,,Referral from an NGO,necesito saber la dirección de un refugio en cali,True
f11283a6845d,2026-05-12 05:20:44.899,Useful,4,Yes,,Other,"Si , actualizar la información",False
92c04276b972,2026-05-12 20:40:48.069,Not useful,1,Yes,,Referral from an NGO,No,True
c4b3d829b70c,2026-05-12 23:03:03.062,Very useful,5,Yes,,Referral from another migrant,No,False
4c7490179e9b,2026-05-15 21:57:15.605,Very useful,5,Yes,,Referral from an NGO,Todo esta perfecto,False
5af71ce15ba4,2026-05-19 15:56:49.186,Very useful,5,Yes,,Referral from another migrant,Perfecto,False
58e3ec0e8efa,2026-05-22 11:02:08.011,Very useful,5,Yes,,Social media,El servicio es muy excelente,False
bb33b846c2c5,2026-05-25 19:46:04.239,Slightly useful,2,Yes,,Referral from an NGO,No,True
5a525086d92f,2026-05-25 20:11:30.972,Very useful,5,Yes,,Other,No por el momento,False
06433e895ee5,2026-05-26 00:13:40.908,Useful,4,Yes,,Social media,Si,False
512018e4b670,2026-05-26 14:16:32.932,Very useful,5,Yes,,Other,Ninguna,False
0a5b92f117c1,2026-05-26 15:04:25.393,Useful,4,Yes,,Referral from an NGO,No,False
5a37c2627cfe,2026-05-27 17:06:01.244,Very useful,5,Yes,,Referral from another migrant,Lo veo muy exelente,False
dd16a0f184e1,2026-05-28 21:24:22.181,Very useful,5,Yes,,Poster at a service point,No este servicio es mui bueno,False
1c6098ca81dd,2026-05-28 21:27:57.474,Not useful,1,Prefer not to say,,Social media,No,True
ebd77a80a358,2026-05-28 21:54:50.788,Useful,4,Yes,,Social media,Todo bien,False
6c3f6488d293,2026-05-29 14:50:23.604,Not useful,1,Prefer not to say,,Referral from another migrant,Como sacar un petróleo tutor,True
866fdeb1a0de,2026-06-02 15:17:06.167,Useful,4,Prefer not to say,,Poster at a service point,No,False
3b7c53152a59,2026-06-02 15:35:44.469,Useful,4,Yes,,Social media,No,False
