message_id,kind,entity
0b501ab77dbaa099,procedure,PPT
acf1c79073fd8d63,procedure,Trabajo/Empleo
18a3b8ab91353a1d,procedure,PPT
bb24b051e60afeb9,procedure,Trabajo/Empleo
66353b4d18b7880f,procedure,Emprendimiento
7344865054d2af9e,procedure,Salud/EPS
2b74405fdf60f348,procedure,Salud/EPS
514890d6e352465f,procedure,PPT
fe39172d50cd4882,procedure,Regularización
f0517679c66dbc2f,procedure,Salvoconducto
f0517679c66dbc2f,procedure,PPT
5333cfdcd3b38a37,procedure,Pasaporte
e3f4d2c3933c277c,procedure,Trabajo/Empleo
e3f4d2c3933c277c,procedure,Pasaporte
3fb640b907decf29,procedure,Salud/EPS
cbf9a4b982921bf5,procedure,Trabajo/Empleo
cbf9a4b982921bf5,procedure,Cédula
1ce1dc14c57047be,procedure,PPT
cf42d4a39ca06711,procedure,Cédula
7fa1e3cbc6cf8ccc,procedure,Cédula
7fa1e3cbc6cf8ccc,procedure,Pasaporte
3c34aa4b34a93553,procedure,PPT
d173b4fa7910efba,procedure,Salvoconducto
e3b887c9d613a36b,procedure,Salvoconducto
e3b887c9d613a36b,procedure,Cédula
39fea74ab0ed97de,procedure,Nacionalidad/Naturalización
237dfb4b24ee2341,procedure,PPT
66612202b703daf3,procedure,PPT
27d6a99b8d4d2dbe,procedure,Cédula
6c8b0db76bc65c05,procedure,Visa
8b331a657f14ac59,procedure,Salud/EPS
c28af4966456d4a0,procedure,PPT
4b4d1890d6cdf276,procedure,Trabajo/Empleo
18791c5ff358eefb,procedure,Trabajo/Empleo
072f399c9f9cc256,procedure,Emprendimiento
d0426a708ed9bc7a,procedure,PPT
d0426a708ed9bc7a,procedure,Cédula
2e203801bc90ef34,procedure,Pasaporte
ed2f8c640e846146,procedure,Pasaporte
995e8dfe9ce8cacd,procedure,Visa
102d43d14d4f2c7d,procedure,Regularización
102d43d14d4f2c7d,procedure,Pasaporte
cd3ead89b9951e18,procedure,Regularización
cd3ead89b9951e18,procedure,Pasaporte
93a05434472bf25d,procedure,Trabajo/Empleo
23207e6704d16837,institution,Migración Colombia
675692ddbbd16e67,procedure,PPT
1e1d5a1ebf03a7ab,procedure,PPT
6fb3e485f279d426,procedure,PPT
785990c4867cc966,procedure,Salud/EPS
5a1b2efb5512429f,procedure,Salud/EPS
110b02aed6d94301,procedure,PPT
1b33d5b2dc6e5d0a,procedure,PPT
1b33d5b2dc6e5d0a,procedure,Salud/EPS
711cdd5cc33cca98,procedure,Visa
5fd52e5c671c1bf6,procedure,Vivienda/Arriendo
43f6ad984abaa119,procedure,PPT
43f6ad984abaa119,procedure,Educación
43f6ad984abaa119,procedure,Salud/EPS
2977b17215482904,procedure,PPT
fd7f433d7bf27265,procedure,PPT
e7ddd0b1b660cbdb,procedure,Salvoconducto
429df8c96e5fc533,procedure,Salud/EPS
9934f788293dbc95,procedure,Trabajo/Empleo
9934f788293dbc95,procedure,Ayuda humanitaria
fc0f6ccbd89e6829,procedure,Salvoconducto
fc0f6ccbd89e6829,institution,Cancillería
5972fbf9b4d79fd2,procedure,Salud/EPS
e154be49537154ab,institution,Migración Colombia
34e689a9c1266fe1,procedure,Salvoconducto
34e689a9c1266fe1,procedure,Regularización
34e689a9c1266fe1,procedure,Cédula
ee9a5545774478bc,procedure,Visa
ee9a5545774478bc,procedure,Pasaporte
76656aafa689e265,procedure,Refugio/Asilo
d3eac613c316ea7d,procedure,PPT
5cdebc7f55c0094c,procedure,Regularización
adc28431a2882113,procedure,Trabajo/Empleo
cfff91392cb04654,procedure,Regularización
e8b1214fb459c5aa,procedure,PPT
ba6c1996fbd7d0ef,procedure,PPT
94e624a906c4a062,procedure,Visa
94e624a906c4a062,procedure,Nacionalidad/Naturalización
