term,n_gram,n_msgs,n_users,example_message_id
ayudas,1,93,62,37723c3d15ce70d0
anos,1,70,61,12a6ff7f69a7db21
pais,1,38,37,1759a3980df8c317
hijo,1,40,33,69eafeae36e8f853
estan,1,37,32,11c539e964a675b7
debo,1,33,31,bde8596a273f9025
integrate,1,43,31,5a165694463daf35
estar,1,34,30,da69d382899da6f1
encuentro,1,29,29,c00c9e1ed9505aa1
pregunta,1,32,29,d7919ba0954a8d10
apoyo,1,30,26,35302c22dad1b208
acceder,1,31,25,6143f97772f314cc
edad,1,25,25,8f37a28408438558
madre,1,25,25,8d3397eec41f5c11
ninos,1,26,25,0ac22d55a36b72c4
puedes,1,27,25,e77e6f90c639e0f0
atencion,1,26,24,0f4df8f3f383fcac
direccion,1,30,24,75c8248129aeb5bd
hija,1,27,24,70b6508ad4fd32ce
hijos,1,32,23,e77e6f90c639e0f0
servicios,1,29,23,6143f97772f314cc
documento,1,26,22,70b6508ad4fd32ce
migrante,1,22,21,6143f97772f314cc
numero,1,25,21,a5a1194b5375484e
ciudad,1,21,20,60b1211aa92e1375
queda,1,21,20,7484f5d283de65db
soltera,1,20,20,8d3397eec41f5c11
venezolanos,1,27,20,ca391227a63e5d32
danes,1,24,19,419511fd338400a2
programa,1,19,19,419511fd338400a2
centro,1,21,18,5a165694463daf35
legal,1,19,18,002b28fd6573b941
norte,1,19,18,7f3ba032b6bc8315
recibir,1,19,18,ca391227a63e5d32
cita,1,24,16,6d073e98a5808d49
organizacion,1,17,16,4a0ce238480716cc
pueda,1,16,16,30263db5d061ac42
ustedes,1,17,16,d7921837a96992ba
bueno,1,19,15,8a6e27bd0c8ddc9d
conseguir,1,16,15,ce6e325c522eb473
